Libellé,,Démographie - Nombre de naissances vivantes - France métropolitaine
1946,1,64599
1946,2,65702
1946,3,78294
1946,4,76400
1946,5,76636
1946,6,71970
1946,7,75104
1946,8,71297
1946,9,68450
1946,10,64468
1946,11,62949
1946,12,68035
1947,1,74079
1947,2,70065
1947,3,78247
1947,4,75911
1947,5,78953
1947,6,74571
1947,7,75384
1947,8,72383
1947,9,70028
1947,10,67344
1947,11,65189
1947,12,68318
1948,1,75889
1948,2,73285
1948,3,78215
1948,4,73569
1948,5,73476
1948,6,71360
1948,7,75725
1948,8,72155
1948,9,70801
1948,10,68475
1948,11,66781
1948,12,71105
1949,1,77153
1949,2,70292
1949,3,78043
1949,4,76630
1949,5,77381
1949,6,73823
1949,7,75128
1949,8,71895
1949,9,68997
1949,10,66170
1949,11,66084
1949,12,71065
1950,1,76558
1950,2,69607
1950,3,78650
1950,4,75376
1950,5,76436
1950,6,72030
1950,7,73248
1950,8,70728
1950,9,68156
1950,10,69357
1950,11,65008
1950,12,67156
1951,1,71119
1951,2,66113
1951,3,72954
1951,4,71787
1951,5,74698
1951,6,70322
1951,7,73716
1951,8,68929
1951,9,66254
1951,10,65112
1951,11,60226
1951,12,65492
1952,1,70350
1952,2,67033
1952,3,73414
1952,4,71715
1952,5,72814
1952,6,68354
1952,7,69876
1952,8,68979
1952,9,66843
1952,10,65510
1952,11,62940
1952,12,64376
1953,1,69771
1953,2,64564
1953,3,71538
1953,4,67876
1953,5,71645
1953,6,67705
1953,7,71225
1953,8,68549
1953,9,65045
1953,10,62643
1953,11,59440
1953,12,64695
1954,1,70215
1954,2,64826
1954,3,70406
1954,4,69474
1954,5,72752
1954,6,66940
1954,7,70499
1954,8,69177
1954,9,65781
1954,10,65149
1954,11,61497
1954,12,64038
1955,1,69253
1955,2,63330
1955,3,71800
1955,4,70245
1955,5,72035
1955,6,67817
1955,7,70238
1955,8,67434
1955,9,63842
1955,10,64480
1955,11,60667
1955,12,64776
1956,1,68254
1956,2,66290
1956,3,71586
1956,4,68117
1956,5,72508
1956,6,66428
1956,7,70485
1956,8,67844
1956,9,65080
1956,10,63857
1956,11,61108
1956,12,65359
1957,1,71369
1957,2,65515
1957,3,71804
1957,4,68475
1957,5,70838
1957,6,66762
1957,7,67841
1957,8,68944
1957,9,67702
1957,10,67028
1957,11,63662
1957,12,66527
1958,1,70099
1958,2,64465
1958,3,71624
1958,4,67376
1958,5,72090
1958,6,67490
1958,7,66214
1958,8,64077
1958,9,65906
1958,10,68382
1958,11,65673
1958,12,68819
1959,1,72025
1959,2,65815
1959,3,72821
1959,4,71319
1959,5,73465
1959,6,67763
1959,7,71150
1959,8,69936
1959,9,67738
1959,10,67418
1959,11,63852
1959,12,65947
1960,1,67989
1960,2,65972
1960,3,70716
1960,4,68782
1960,5,73283
1960,6,68962
1960,7,71881
1960,8,69943
1960,9,68155
1960,10,66044
1960,11,61853
1960,12,66239
1961,1,71757
1961,2,65868
1961,3,73187
1961,4,72534
1961,5,75404
1961,6,69854
1961,7,71599
1961,8,69759
1961,9,67467
1961,10,68105
1961,11,65012
1961,12,68087
1962,1,69537
1962,2,64691
1962,3,72649
1962,4,70128
1962,5,74505
1962,6,68454
1962,7,70869
1962,8,71174
1962,9,68833
1962,10,68706
1962,11,65587
1962,12,67220
1963,1,71604
1963,2,67690
1963,3,77533
1963,4,74497
1963,5,77888
1963,6,72129
1963,7,76085
1963,8,72671
1963,9,72333
1963,10,70966
1963,11,66474
1963,12,69006
1964,1,73217
1964,2,71534
1964,3,76540
1964,4,75562
1964,5,78223
1964,6,73946
1964,7,76073
1964,8,71523
1964,9,72881
1964,10,71449
1964,11,66762
1964,12,70094
1965,1,74738
1965,2,67592
1965,3,75381
1965,4,74441
1965,5,77581
1965,6,73132
1965,7,74822
1965,8,72935
1965,9,71391
1965,10,70156
1965,11,65869
1965,12,67650
1966,1,73014
1966,2,67416
1966,3,76288
1966,4,75285
1966,5,79080
1966,6,74129
1966,7,74381
1966,8,72037
1966,9,69571
1966,10,69098
1966,11,65060
1966,12,68168
1967,1,70023
1967,2,65089
1967,3,72445
1967,4,73777
1967,5,77684
1967,6,71045
1967,7,72277
1967,8,70013
1967,9,68689
1967,10,68208
1967,11,63712
1967,12,67606
1968,1,70409
1968,2,67077
1968,3,73703
1968,4,71719
1968,5,75317
1968,6,70355
1968,7,71544
1968,8,69027
1968,9,69193
1968,10,67673
1968,11,63496
1968,12,66283
1969,1,70318
1969,2,66375
1969,3,74871
1969,4,72018
1969,5,76896
1969,6,70852
1969,7,72358
1969,8,67686
1969,9,68587
1969,10,68777
1969,11,64710
1969,12,68797
1970,1,69153
1970,2,64082
1970,3,73471
1970,4,73170
1970,5,77009
1970,6,73159
1970,7,74267
1970,8,68980
1970,9,66217
1970,10,67915
1970,11,68842
1970,12,74116
1971,1,73928
1971,2,67670
1971,3,76069
1971,4,77515
1971,5,81159
1971,6,74870
1971,7,76073
1971,8,72280
1971,9,71927
1971,10,71304
1971,11,67738
1971,12,70751
1972,1,73345
1972,2,69083
1972,3,76074
1972,4,75391
1972,5,79743
1972,6,75698
1972,7,76199
1972,8,72082
1972,9,69937
1972,10,69873
1972,11,67481
1972,12,72600
1973,1,72896
1973,2,66306
1973,3,76204
1973,4,76926
1973,5,80855
1973,6,74712
1973,7,74848
1973,8,69954
1973,9,66696
1973,10,66171
1973,11,64342
1973,12,67276
1974,1,68209
1974,2,60724
1974,3,69374
1974,4,69910
1974,5,73930
1974,6,66978
1974,7,70276
1974,8,67548
1974,9,65449
1974,10,65166
1974,11,60565
1974,12,63089
1975,1,62600
1975,2,58062
1975,3,65881
1975,4,68355
1975,5,71894
1975,6,65199
1975,7,66848
1975,8,60598
1975,9,56642
1975,10,56394
1975,11,54512
1975,12,58080
1976,1,57743
1976,2,55628
1976,3,61478
1976,4,61643
1976,5,65457
1976,6,63948
1976,7,63445
1976,8,59794
1976,9,59507
1976,10,58434
1976,11,55663
1976,12,57655
1977,1,58496
1977,2,54481
1977,3,62561
1977,4,63785
1977,5,71627
1977,6,66698
1977,7,66068
1977,8,63412
1977,9,60297
1977,10,61441
1977,11,56883
1977,12,58995
1978,1,59369
1978,2,56160
1978,3,63729
1978,4,65767
1978,5,70391
1978,6,64352
1978,7,64236
1978,8,59429
1978,9,58383
1978,10,59840
1978,11,55942
1978,12,59464
1979,1,59981
1979,2,55932
1979,3,63479
1979,4,66351
1979,5,70959
1979,6,65426
1979,7,66988
1979,8,62044
1979,9,60918
1979,10,63552
1979,11,59927
1979,12,61797
1980,1,63538
1980,2,60354
1980,3,67017
1980,4,68442
1980,5,73984
1980,6,67896
1980,7,71028
1980,8,67362
1980,9,65719
1980,10,67243
1980,11,62887
1980,12,64906
1981,1,65214
1981,2,60514
1981,3,68630
1981,4,70351
1981,5,73189
1981,6,69281
1981,7,71634
1981,8,68330
1981,9,65325
1981,10,65195
1981,11,62119
1981,12,65701
1982,1,64717
1982,2,60701
1982,3,69193
1982,4,69541
1982,5,72406
1982,6,68944
1982,7,70847
1982,8,67083
1982,9,65181
1982,10,64998
1982,11,61178
1982,12,62434
1983,1,61042
1983,2,57134
1983,3,62166
1983,4,62754
1983,5,68829
1983,6,66146
1983,7,68091
1983,8,63518
1983,9,61396
1983,10,60295
1983,11,57089
1983,12,60065
1984,1,60189
1984,2,58353
1984,3,63252
1984,4,61144
1984,5,66841
1984,6,65570
1984,7,68678
1984,8,64674
1984,9,62899
1984,10,64887
1984,11,61239
1984,12,62213
1985,1,63003
1985,2,56278
1985,3,64260
1985,4,64679
1985,5,70206
1985,6,65603
1985,7,69242
1985,8,63905
1985,9,62793
1985,10,64195
1985,11,60909
1985,12,63358
1986,1,63920
1986,2,58689
1986,3,65629
1986,4,65781
1986,5,70208
1986,6,66807
1986,7,67734
1986,8,65760
1986,9,64206
1986,10,65099
1986,11,60307
1986,12,64328
1987,1,62628
1987,2,57137
1987,3,64507
1987,4,64830
1987,5,69074
1987,6,68275
1987,7,67974
1987,8,64129
1987,9,63190
1987,10,63511
1987,11,59689
1987,12,62884
1988,1,62358
1988,2,59563
1988,3,65930
1988,4,63550
1988,5,68600
1988,6,64456
1988,7,66600
1988,8,66037
1988,9,64609
1988,10,64432
1988,11,61714
1988,12,63419
1989,1,60905
1989,2,57666
1989,3,64569
1989,4,64191
1989,5,68364
1989,6,66118
1989,7,68170
1989,8,64007
1989,9,60567
1989,10,64292
1989,11,62184
1989,12,64440
1990,1,62921
1990,2,56701
1990,3,63230
1990,4,62139
1990,5,67307
1990,6,65000
1990,7,68843
1990,8,64823
1990,9,61992
1990,10,64688
1990,11,61404
1990,12,63359
1991,1,62758
1991,2,57319
1991,3,62463
1991,4,62560
1991,5,65687
1991,6,64174
1991,7,68810
1991,8,64545
1991,9,63655
1991,10,64147
1991,11,60402
1991,12,62536
1992,1,61964
1992,2,58811
1992,3,62478
1992,4,61694
1992,5,64604
1992,6,62280
1992,7,66802
1992,8,62163
1992,9,61773
1992,10,61693
1992,11,58132
1992,12,61264
1993,1,58502
1993,2,53452
1993,3,58950
1993,4,58898
1993,5,60138
1993,6,61634
1993,7,64789
1993,8,60699
1993,9,59787
1993,10,59102
